# **************************
# Configuration generated from xml description using create_config.py 
#
# created on Thu Jan 27 11:05:41 2011
# Input file: bus-config-i12-box.xml
# Formatted in 9 columns: 
#  1 channel_no,  
#  2 assigned (0/1),  
#  3 alias,  
#  4 bus position,  
#  5 vendor_id (hex),  
#  6 product_code (hex),  
#  7 pdo index (hex),  
#  8 pdo subindex (hex),  
#  9 pdo bit length  
# **************************
# EL3702 Ch1 CycleCount Ch1 CycleCount 
 0,   1,   0,  1,  0x2,  0xe763052,  0x6800,  0x1,  16
# EL3702 Ch1 Sample Ch1 Value 
 1,   1,   0,  1,  0x2,  0xe763052,  0x6000,  0x1,  16
# EL3702 Ch2 CycleCount Ch2 CycleCount 
 2,   1,   0,  1,  0x2,  0xe763052,  0x6800,  0x2,  16
# EL3702 Ch2 Sample Ch2 Value 
 3,   1,   0,  1,  0x2,  0xe763052,  0x6000,  0x2,  16
# EL3702 NextSync1Time StartTimeNextLatch 
 4,   1,   0,  1,  0x2,  0xe763052,  0x1d09,  0x98,  32
# EL4134 AO RxPDO-Map OutputsCh.1 Analog output 
 5,   1,   0,  2,  0x2,  0x10263052,  0x7000,  0x1,  16
# EL4134 AO RxPDO-Map OutputsCh.2 Analog output 
 6,   1,   0,  2,  0x2,  0x10263052,  0x7010,  0x1,  16
# EL4134 AO RxPDO-Map OutputsCh.3 Analog output 
 7,   1,   0,  2,  0x2,  0x10263052,  0x7020,  0x1,  16
# EL4134 AO RxPDO-Map OutputsCh.4 Analog output 
 8,   1,   0,  2,  0x2,  0x10263052,  0x7030,  0x1,  16
# EL2624 Channel 1 to 4 Output 
 9,   1,   0,  3,  0x2,  0xa403052,  0x7000,  0x1,  8
# EL4732 Ch1 CycleCount Ch1 CycleCount 
 10,   1,   0,  4,  0x2,  0x127c3052,  0x7800,  0x1,  16
# EL4732 Ch1 Sample Ch1 Value 
 11,   1,   0,  4,  0x2,  0x127c3052,  0x7000,  0x1,  16
# EL4732 Ch2 CycleCount Ch2 CycleCount 
 12,   1,   0,  4,  0x2,  0x127c3052,  0x7800,  0x2,  16
# EL4732 Ch2 Sample Ch2 Value 
 13,   1,   0,  4,  0x2,  0x127c3052,  0x7000,  0x2,  16
# EL4732 StartTimeNextOutput StartTimeNextOutput 
